id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
34221000,225000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2050,51.2171725,4.3799821,1963.0,100.0,,2,2,INSTALLED,0,0,1,5.0,0,0.0,0,0,MISSING,231.0,C,GAS,1,922.0
34036000,335000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1070,50.8420431,4.3345427,,142.0,,2,3,INSTALLED,0,0,1,,0,0.0,0,1,AS_NEW,,MISSING,GAS,0,
74290000,185000.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4000,50.6318255,5.5573521,,,,2,2,MISSING,0,0,1,,0,0.0,0,1,MISSING,212.0,C,MISSING,1,
59541000,294000.0,APARTMENT,APARTMENT,Wallonia,Liège,Verviers,4700,50.6335911,6.0298685,2023.0,106.0,,3,2,NOT_INSTALLED,0,1,1,7.0,0,0.0,0,1,MISSING,,MISSING,GAS,1,
22074000,347000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,2820,51.0240727,4.5424491,2011.0,102.0,,2,2,INSTALLED,0,0,1,,0,0.0,0,0,MISSING,113.0,B,GAS,1,
47395000,270000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2100,,,1973.0,115.0,,3,3,MISSING,0,0,1,,0,0.0,0,1,TO_BE_DONE_UP,236.0,C,MISSING,0,1160.0
37990000,272000.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1500,,,,84.0,,2,2,MISSING,0,0,1,13.0,0,0.0,0,1,AS_NEW,,MISSING,MISSING,0,
12568000,270650.0,APARTMENT,APARTMENT,Flanders,East Flanders,Aalst,9300,50.9342398,4.0481151,,69.0,,2,1,MISSING,0,0,1,8.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,
10472000,280000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,2280,51.1726725,4.7431011,2024.0,82.0,,2,2,MISSING,0,0,1,14.0,0,0.0,0,0,GOOD,,MISSING,MISSING,1,1.0
66970000,320517.0,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9180,51.1732149,3.9425774,2023.0,108.0,,4,2,HYPER_EQUIPPED,0,0,1,23.0,0,0.0,0,0,MISSING,,MISSING,MISSING,1,
30081000,265000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2100,51.2225441,4.4797397,1978.0,102.0,,2,2,INSTALLED,0,0,1,10.0,0,0.0,0,0,JUST_RENOVATED,119.0,B,GAS,1,1068.0
59336000,309900.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3200,51.0053889,4.8366618,2023.0,92.0,,3,2,INSTALLED,0,1,1,18.0,1,,0,0,MISSING,,MISSING,MISSING,1,
32624000,293319.0,APARTMENT,APARTMENT,Wallonia,Walloon Brabant,Nivelles,1480,50.6860556,4.2075045,2024.0,,,2,2,USA_INSTALLED,0,0,1,11.0,0,0.0,0,0,MISSING,63.0,A,MISSING,1,
41421000,269000.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1785,50.9095863,4.3058345,2022.0,80.0,,2,1,MISSING,0,0,1,14.0,0,0.0,0,0,MISSING,40.0,A,GAS,0,
24546000,275000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2000,51.2089773,4.3917365,,65.0,,2,1,INSTALLED,0,0,0,0.0,0,0.0,0,0,GOOD,,MISSING,GAS,0,
22508000,345000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8301,51.3405582,3.2363966,1974.0,40.0,,2,1,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,0,GOOD,198.0,B,GAS,1,
57985000,275000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1050,50.8185931,4.3838131,1930.0,75.0,,2,1,MISSING,0,1,0,0.0,0,0.0,0,1,TO_BE_DONE_UP,198.0,D,MISSING,1,531.0
51116000,499000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Aalst,9500,50.7860474,3.9179924,,162.0,,2,4,MISSING,0,1,0,0.0,0,0.0,0,1,AS_NEW,396.0,D,MISSING,0,
35133000,160000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Diksmuide,8600,51.0334997,2.862771,,69.0,,2,2,MISSING,0,0,0,0.0,1,15.0,0,0,GOOD,328.0,A++,ELECTRIC,1,580.0
77824000,174000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Soignies,7060,50.5703743,4.0642271,2023.0,61.0,,3,1,HYPER_EQUIPPED,0,0,1,7.0,0,0.0,0,0,AS_NEW,,MISSING,ELECTRIC,1,
6722000,355000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8430,51.1838218,2.8127204,,69.0,,4,2,INSTALLED,0,1,1,12.0,0,0.0,0,1,MISSING,,MISSING,MISSING,1,
3921000,499900.0,APARTMENT,APARTMENT,Flanders,East Flanders,Aalst,9500,50.7918866,3.9271927,1994.0,260.0,,4,5,INSTALLED,0,0,1,45.0,1,960.0,0,1,GOOD,199.0,B,MISSING,1,
75396000,336060.0,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5640,50.314189,4.6614885,2023.0,104.0,,4,2,MISSING,0,1,1,18.0,0,0.0,0,1,MISSING,55.0,A,ELECTRIC,1,
41522000,153900.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2100,51.2279481,4.4710569,,60.0,,3,1,INSTALLED,0,1,1,3.0,0,0.0,0,1,GOOD,276.0,C,GAS,1,
15415000,269000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Aalst,9308,50.9631306,4.0399199,2022.0,82.0,,4,2,USA_HYPER_EQUIPPED,0,0,1,,0,0.0,0,1,AS_NEW,,MISSING,MISSING,1,
72150000,220000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1200,50.8480716,4.4239712,1948.0,50.0,,2,1,INSTALLED,0,0,0,0.0,0,0.0,0,1,GOOD,1402.0,G,GAS,0,
19264000,245000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8430,51.1893704,2.8189395,2001.0,69.0,,2,2,INSTALLED,0,0,1,4.0,0,0.0,0,1,GOOD,210.0,C,ELECTRIC,0,874.0
59420000,335000.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4000,50.6203009,5.5771992,1959.0,155.0,,2,4,INSTALLED,0,0,1,3.0,0,0.0,0,0,TO_BE_DONE_UP,176.0,C,GAS,1,1864.0
25685000,329000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1030,50.8653804,4.3893346,1958.0,120.0,,2,2,HYPER_EQUIPPED,0,0,1,7.0,0,0.0,0,0,TO_BE_DONE_UP,200.0,D,MISSING,1,
36017000,414500.0,APARTMENT,APARTMENT,Flanders,East Flanders,Aalst,9300,50.9337015,4.0555198,,133.0,,2,2,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,
4964000,115000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7500,,,,82.0,,2,2,INSTALLED,0,0,0,0.0,0,0.0,0,1,MISSING,173.0,C,FUELOIL,0,837.0
72327000,271000.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3440,50.8335291,5.1026475,2022.0,81.0,,2,2,USA_HYPER_EQUIPPED,0,0,1,9.0,1,20.0,0,0,AS_NEW,,MISSING,MISSING,1,
